file_path,line_number,hardcoded_literal,proposed_alias,context
tools\auto_parse.toml,6,C:\Users\atayl\VoxCore,VOXCORE_ROOT,runtime_dir = 'C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo'
tools\auto_parse.toml,8,C:\Users\atayl\VoxCore,VOXCORE_ROOT,wago_dir = 'C:\Users\atayl\VoxCore\wago'
tools\auto_parse.toml,9,C:\Users\atayl\VoxCore,VOXCORE_ROOT,tools_dir = 'C:\Users\atayl\VoxCore\tools'
tools\auto_parse.toml,10,C:\Users\atayl\VoxCore,VOXCORE_ROOT,wpp_exe = 'C:\Users\atayl\VoxCore\ExtTools\WowPacketParser\WowPacketParser.exe'
tools\chatgpt_studio_orientation.md,8,C:\Users\atayl\VoxCore,VOXCORE_ROOT,4. **Any other sub-project or tool** stored anywhere inside `C:\Users\atayl\VoxCore\`
tools\chatgpt_studio_orientation.md,20,C:\Users\atayl\VoxCore,VOXCORE_ROOT,The user has a physical folder on their hard drive: `C:\Users\atayl\VoxCore\AI_Studio\`.
tools\claude_code_handover.md,6,C:\Users\atayl\VoxCore,VOXCORE_ROOT,1. Read `C:\Users\atayl\VoxCore\out\build\x64-RelWithDebInfo\bin\RelWithDebInfo\PacketLog\timeline.t
tools\claude_project_bootstrap.md,4,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"The user has initialized the `/AI_Studio/Projects/` hierarchy, but the physical folders for `idTIP`,"
tools\claude_project_bootstrap.md,13,C:\Users\atayl\VoxCore,VOXCORE_ROOT,"2. Once you find its master folder, generate a Windows Directory Junction (`mklink /J`) inside `C:\U"
tools\claude_project_bootstrap.md,17,C:\Users\atayl\VoxCore,VOXCORE_ROOT,2. Generate a Windows Directory Junction (`mklink /J`) inside `C:\Users\atayl\VoxCore\AI_Studio\Proj
